,Upazila/Thana,Religion,Sex,,,,,,,,,,,,
,, Other,36,40,76,,,,,,,,,,
,, Total,141287,141079,282366,,,,,,,,,,
,Kotchandpur,,Male,Female,Total,,,,,,,,,,
,, Muslim,63093,63386,126479,,,,,,,,,,
,, Hindu,7446,7104,14550,,,,,,,,,,
,, Buddhist,1,-,1,,,,,,,,,,
,, Other,45,46,91,,,,,,,,,,
,, Total,70585,70536,141121,,,,,,,,,,
,Maheshpur,,Male,Female,Total,,,,,,,,,,
,, Muslim,159775,159801,319576,,,,,,,,,,
,, Hindu,6425,6334,12759,,,,,,,,,,
,, Christian,35,29,64,,,,,,,,,,
,, Buddhist,1,1,2,,,,,,,,,,
,, Other,55,58,113,,,,,,,,,,
,, Total,166291,166223,332514,,,,,,,,,,
,Shailkupa,,Male,Female,Total,,,,,,,,,,
,, Muslim,160830,161287,322117,,,,,,,,,,
,, Hindu,19656,19253,38909,,,,,,,,,,
,, Christian,48,47,95,,,,,,,,,,
,, Buddhist,13,6,19,,,,,,,,,,
,, Other,252,256,508,,,,,,,,,,
,, Total,180799,180849,361648,,,,,,,,,,
,Batiaghata,,Male,Female,Total,,,,,,,,,,
,, Muslim,55703,53888,109591,,,,,,,,,,
,, Hindu,30814,30894,61708,,,,,,,,,,
,, Christian,163,223,386,,,,,,,,,,
,, Buddhist,5,1,6,,,,,,,,,,
,, Total,86685,85006,171691,,,,,,,,,,
,Dacope,,Male,Female,Total,,,,,,,,,,
,, Muslim,32121,31213,63334,,,,,,,,,,
,, Hindu,42752,43361,86113,,,,,,,,,,
,, Christian,1418,1451,2869,,,,,,,,,,
,, Total,76291,76025,152316,,,,,,,,,,
,Daulatpur,,Male,Female,Total,,,,,,,,,,
,, Muslim,51098,47922,99020,,,,,,,,,,
,, Hindu,6755,5574,12329,,,,,,,,,,
,, Christian,603,489,1092,,,,,,,,,,
,, Buddhist,1,-,1,,,,,,,,,,
,, Total,58457,53985,112442,,,,,,,,,,
,Dumuria,,Male,Female,Total,,,,,,,,,,
,, Muslim,94197,94422,188619,,,,,,,,,,
,, Hindu,58609,57842,116451,,,,,,,,,,
,, Christian,183,156,339,,,,,,,,,,
,, Buddhist,6,3,9,,,,,,,,,,
,, Other,116,141,257,,,,,,,,,,
,, Total,153111,152564,305675,,,,,,,,,,
,Dighalia,,Male,Female,Total,,,,,,,,,,
,, Muslim,50174,47686,97860,,,,,,,,,,
,, Hindu,8782,8428,17210,,,,,,,,,,
,, Christian,260,248,508,,,,,,,,,,
,, Other,4,3,7,,,,,,,,,,
,, Total,59220,56365,115585,,,,,,,,,,
,Khalishpur,,Male,Female,Total,,,,,,,,,,
,, Muslim,82410,72253,154663,,,,,,,,,,
,, Hindu,4443,3439,7882,,,,,,,,,,
,, Christian,1311,1393,2704,,,,,,,,,,
,, Buddhist,22,8,30,,,,,,,,,,
,, Other,11,9,20,,,,,,,,,,
,, Total,88197,77102,165299,,,,,,,,,,
,Khan jahan ali,,Male,Female,Total,,,,,,,,,,
,, Muslim,40690,35753,76443,,,,,,,,,,
,, Hindu,2441,1993,4434,,,,,,,,,,
,, Christian,228,188,416,,,,,,,,,,
,, Buddhist,6,2,8,,,,,,,,,,
,, Other,6,6,12,,,,,,,,,,
,, Total,43371,37942,81313,,,,,,,,,,
,Khulna,,Male,Female,Total,,,,,,,,,,
,, Muslim,99147,95119,194266,,,,,,,,,,
,, Hindu,14948,12370,27318,,,,,,,,,,
,, Christian,1450,1366,2816,,,,,,,,,,
,, Buddhist,12,3,15,,,,,,,,,,
,, Other,16,13,29,,,,,,,,,,
,, Total,115573,108871,224444,,,,,,,,,,
,Koyra,,Male,Female,Total,,,,,,,,,,
,, Muslim,74761,78219,152980,,,,,,,,,,
,, Hindu,20257,19940,40197,,,,,,,,,,
,, Christian,244,232,476,,,,,,,,,,
,, Other,131,147,278,,,,,,,,,,
,, Total,95393,98538,193931,,,,,,,,,,
,Paikgachha,,Male,Female,Total,,,,,,,,,,
,, Muslim,82816,83748,166564,,,,,,,,,,
,, Hindu,40539,39793,80332,,,,,,,,,,
,, Christian,545,542,1087,,,,,,,,,,
,, Total,123900,124083,247983,,,,,,,,,,
,Phultala,,Male,Female,Total,,,,,,,,,,
,, Muslim,36967,37304,74271,,,,,,,,,,
,, Hindu,4868,4727,9595,,,,,,,,,,
,, Christian,8,5,13,,,,,,,,,,
,, Other,-,2,2,,,,,,,,,,
,, Total,41843,42038,83881,,,,,,,,,,
,Rupsa,,Male,Female,Total,,,,,,,,,,
,, Muslim,76398,76243,152641,,,,,,,,,,
,, Hindu,13613,12881,26494,,,,,,,,,,
,, Christian,159,186,345,,,,,,,,,,
,, Other,19,20,39,,,,,,,,,,
,, Total,90189,89330,179519,,,,,,,,,,
,Sonadanga,,Male,Female,Total,,,,,,,,,,
,, Muslim,76724,75296,152020,,,,,,,,,,
,, Hindu,7090,6354,13444,,,,,,,,,,
,, Christian,1219,957,2176,,,,,,,,,,
,, Buddhist,22,6,28,,,,,,,,,,
,, Other,38,33,71,,,,,,,,,,
,, Total,85093,82646,167739,,,,,,,,,,
,Terokhada,,Male,Female,Total,,,,,,,,,,
,, Muslim,47121,47356,94477,,,,,,,,,,
,, Hindu,11235,10985,22220,,,,,,,,,,
,, Christian,7,5,12,,,,,,,,,,
,, Total,58363,58346,116709,,,,,,,,,,
,Bheramara,,Male,Female,Total,,,,,,,,,,
,, Muslim,96514,99089,195603,,,,,,,,,,
,, Hindu,2267,2166,4433,,,,,,,,,,
,, Christian,6,4,10,,,,,,,,,,
,, Buddhist,35,1,36,,,,,,,,,,
,, Other,-,2,2,,,,,,,,,,
,, Total,98822,101262,200084,,,,,,,,,,
,Daulatpur,,Male,Female,Total,,,,,,,,,,
,, Muslim,226236,227284,453520,,,,,,,,,,
,, Hindu,1454,1349,2803,,,,,,,,,,
,, Christian,17,23,40,,,,,,,,,,
,, Buddhist,1,1,2,,,,,,,,,,
,, Other,3,4,7,,,,,,,,,,
,, Total,227711,228661,456372,,,,,,,,,,
,Khoksa,,Male,Female,Total,,,,,,,,,,
,, Muslim,58321,58985,117306,,,,,,,,,,
,, Hindu,6164,6069,12233,,,,,,,,,,
,, Christian,7,4,11,,,,,,,,,,
,, Other,4,1,5,,,,,,,,,,
,, Total,64496,65059,129555,,,,,,,,,,
,Kumarkhali,,Male,Female,Total,,,,,,,,,,
,, Muslim,158063,159742,317805,,,,,,,,,,
,, Hindu,5382,5246,10628,,,,,,,,,,
,, Christian,9,6,15,,,,,,,,,,
,, Other,7,2,9,,,,,,,,,,
,, Total,163461,164996,328457,,,,,,,,,,
,Kushtia,,Male,Female,Total,,,,,,,,,,
,, Muslim,243092,238573,481665,,,,,,,,,,
,, Hindu,9841,9611,19452,,,,,,,,,,
,, Christian,70,72,142,,,,,,,,,,
,, Buddhist,24,5,29,,,,,,,,,,
,, Other,472,495,967,,,,,,,,,,
,, Total,253499,248756,502255,,,,,,,,,,
,Mirpur,,Male,Female,Total,,,,,,,,,,
,, Muslim,161874,160971,322845,,,,,,,,,,
,, Hindu,3639,3604,7243,,,,,,,,,,
,, Christian,4,3,7,,,,,,,,,,
,, Buddhist,3,1,4,,,,,,,,,,
,, Other,9,7,16,,,,,,,,,,
,, Total,165529,164586,330115,,,,,,,,,,
,Magura,,Male,Female,Total,,,,,,,,,,
,, Muslim,155264,157571,312835,,,,,,,,,,
,, Hindu,33654,33208,66862,,,,,,,,,,
,, Christian,136,170,306,,,,,,,,,,
,, Buddhist,3,3,6,,,,,,,,,,
,, Other,56,42,98,,,,,,,,,,
,, Total,189113,190994,380107,,,,,,,,,,
,Mohammadpur,,Male,Female,Total,,,,,,,,,,
,, Muslim,91409,95263,186672,,,,,,,,,,
,, Hindu,10640,10502,21142,,,,,,,,,,
,, Christian,3,3,6,,,,,,,,,,
,, Other,47,38,85,,,,,,,,,,
,, Total,102099,105806,207905,,,,,,,,,,
,Shalikha,,Male,Female,Total,,,,,,,,,,
,, Muslim,59541,60217,119758,,,,,,,,,,
,, Hindu,21987,21894,43881,,,,,,,,,,
,, Christian,8,11,19,,,,,,,,,,
,, Total,81536,82122,163658,,,,,,,,,,
,Sreepur,,Male,Female,Total,,,,,,,,,,
,, Muslim,65659,68275,133934,,,,,,,,,,
,, Hindu,16265,16428,32693,,,,,,,,,,
,, Christian,35,27,62,,,,,,,,,,
,, Other,32,28,60,,,,,,,,,,
,, Total,81991,84758,166749,,,,,,,,,,
,Gangni,,Male,Female,Total,,,,,,,,,,
,, Muslim,146148,149310,295458,,,,,,,,,,
,, Hindu,1371,1355,2726,,,,,,,,,,
,, Christian,673,640,1313,,,,,,,,,,
,, Other,58,52,110,,,,,,,,,,
,, Total,148250,151357,299607,,,,,,,,,,
,Mujib Nagar,,Male,Female,Total,,,,,,,,,,
,, Muslim,46090,46880,92970,,,,,,,,,,
,, Hindu,472,473,945,,,,,,,,,,
,, Christian,2506,2694,5200,,,,,,,,,,
,, Buddhist,6,7,13,,,,,,,,,,
,, Other,10,5,15,,,,,,,,,,
,, Total,49084,50059,99143,,,,,,,,,,
,Meherpur,,Male,Female,Total,,,,,,,,,,
,, Muslim,125120,127203,252323,,,,,,,,,,
,, Hindu,2117,2082,4199,,,,,,,,,,
,, Christian,59,55,114,,,,,,,,,,
,, Buddhist,1,-,1,,,,,,,,,,
,, Other,3,2,5,,,,,,,,,,
,, Total,127300,129342,256642,,,,,,,,,,
,Kalia,,Male,Female,Total,,,,,,,,,,
,, Muslim,91390,93692,185082,,,,,,,,,,
,, Hindu,17647,17416,35063,,,,,,,,,,
,, Christian,30,19,49,,,,,,,,,,
,, Buddhist,1,2,3,,,,,,,,,,
,, Other,2,3,5,,,,,,,,,,
,, Total,109070,111132,220202,,,,,,,,,,
,Lohagara,,Male,Female,Total,,,,,,,,,,
,, Muslim,96739,106194,202933,,,,,,,,,,
,, Hindu,12690,12928,25618,,,,,,,,,,
,, Christian,3,1,4,,,,,,,,,,
,, Buddhist,1,-,1,,,,,,,,,,
,, Other,17,21,38,,,,,,,,,,
,, Total,109450,119144,228594,,,,,,,,,,
,Narail,,Male,Female,Total,,,,,,,,,,
,, Muslim,97785,100788,198573,,,,,,,,,,
,, Hindu,37026,36887,73913,,,,,,,,,,
,, Christian,102,103,205,,,,,,,,,,
,, Buddhist,2,-,2,,,,,,,,,,
,, Other,92,87,179,,,,,,,,,,
,, Total,135007,137865,272872,,,,,,,,,,
,Assasuni,,Male,Female,Total,,,,,,,,,,
,, Muslim,97144,98882,196026,,,,,,,,,,
,, Hindu,36040,35082,71122,,,,,,,,,,
,, Christian,670,672,1342,,,,,,,,,,
,, Buddhist,1,-,1,,,,,,,,,,
,, Other,135,128,263,,,,,,,,,,
,, Total,133990,134764,268754,,,,,,,,,,
,Debhata,,Male,Female,Total,,,,,,,,,,
,, Muslim,50417,51359,101776,,,,,,,,,,
,, Hindu,12007,11566,23573,,,,,,,,,,
,, Christian,4,4,8,,,,,,,,,,
,, Other,1,-,1,,,,,,,,,,
,, Total,62429,62929,125358,,,,,,,,,,
,Kalaroa,,Male,Female,Total,,,,,,,,,,
,, Muslim,109481,113978,223459,,,,,,,,,,
,, Hindu,6258,6105,12363,,,,,,,,,,
,, Christian,885,927,1812,,,,,,,,,,
,, Other,187,171,358,,,,,,,,,,
,, Total,116811,121181,237992,,,,,,,,,,
,Kaliganj,,Male,Female,Total,,,,,,,,,,
,, Muslim,114071,117539,231610,,,,,,,,,,
,, Hindu,21903,21124,43027,,,,,,,,,,
,, Christian,109,133,242,,,,,,,,,,
,, Buddhist,1,-,1,,,,,,,,,,
,, Other,5,4,9,,,,,,,,,,
,, Total,136089,138800,274889,,,,,,,,,,
,Satkhira,,Male,Female,Total,,,,,,,,,,
,, Muslim,199464,200662,400126,,,,,,,,,,
,, Hindu,30462,28957,59419,,,,,,,,,,
,, Christian,463,422,885,,,,,,,,,,
,, Buddhist,7,3,10,,,,,,,,,,
,, Other,232,220,452,,,,,,,,,,
,, Total,230628,230264,460892,,,,,,,,,,
,Shyamnagar,,Male,Female,Total,,,,,,,,,,
,, Muslim,120574,131971,252545,,,,,,,,,,
,, Hindu,32459,32357,64816,,,,,,,,,,
,, Christian,17,13,30,,,,,,,,,,
,, Buddhist,2,1,3,,,,,,,,,,
,, Other,389,471,860,,,,,,,,,,
,, Total,153441,164813,318254,,,,,,,,,,
,Tala,,Male,Female,Total,,,,,,,,,,
,, Muslim,109065,111175,220240,,,,,,,,,,
,, Hindu,39163,38068,77231,,,,,,,,,,
,, Christian,901,958,1859,,,,,,,,,,
,, Buddhist,1,2,3,,,,,,,,,,
,, Other,259,228,487,,,,,,,,,,
,, Total,149389,150431,299820,,,,,,,,,,
,Adamdighi,,Male,Female,Total,,,,,,,,,,
,, Muslim,88875,89765,178640,,,,,,,,,,
,, Hindu,8255,7817,16072,,,,,,,,,,
,, Christian,12,9,21,,,,,,,,,,
,, Other,226,227,453,,,,,,,,,,
,, Total,97368,97818,195186,,,,,,,,,,
,Bogra,,Male,Female,Total,,,,,,,,,,
,, Muslim,270398,250905,521303,,,,,,,,,,
,, Hindu,17383,15619,33002,,,,,,,,,,
,, Christian,265,357,622,,,,,,,,,,
,, Buddhist,27,28,55,,,,,,,,,,
,, Other,11,21,32,,,,,,,,,,
,, Total,288084,266930,555014,,,,,,,,,,
,Dhunat,,Male,Female,Total,,,,,,,,,,
,, Muslim,136797,142999,279796,,,,,,,,,,
,, Hindu,6250,6265,12515,,,,,,,,,,
,, Christian,3,5,8,,,,,,,,,,
,, Buddhist,-,1,1,,,,,,,,,,
,, Other,41,43,84,,,,,,,,,,
,, Total,143091,149313,292404,,,,,,,,,,
,Dhupchanchia,,Male,Female,Total,,,,,,,,,,
,, Muslim,80066,82616,162682,,,,,,,,,,
,, Hindu,6977,6956,13933,,,,,,,,,,
,, Christian,2,4,6,,,,,,,,,,
,, Other,28,29,57,,,,,,,,,,
,, Total,87073,89605,176678,,,,,,,,,,
,Gabtali,,Male,Female,Total,,,,,,,,,,
,, Muslim,149257,150768,300025,,,,,,,,,,
,, Hindu,9926,9632,19558,,,,,,,,,,
,, Other,3,2,5,,,,,,,,,,
,, Total,159186,160402,319588,,,,,,,,,,
,Kahaloo,,Male,Female,Total,,,,,,,,,,
,, Muslim,103532,104783,208315,,,,,,,,,,
,, Hindu,7118,6913,14031,,,,,,,,,,
,, Christian,3,3,6,,,,,,,,,,
,, Other,10,14,24,,,,,,,,,,
,, Total,110663,111713,222376,,,,,,,,,,
,Nandigram,,Male,Female,Total,,,,,,,,,,
,, Muslim,79018,79270,158288,,,,,,,,,,
,, Hindu,11235,10970,22205,,,,,,,,,,
,, Christian,-,3,3,,,,,,,,,,
,, Other,155,151,306,,,,,,,,,,
,, Total,90408,90394,180802,,,,,,,,,,
,Sariakandi,,Male,Female,Total,,,,,,,,,,
,, Muslim,132231,132502,264733,,,,,,,,,,
,, Hindu,3018,2937,5955,,,,,,,,,,
,, Christian,1,-,1,,,,,,,,,,
,, Buddhist,1,-,1,,,,,,,,,,
,, Other,15,14,29,,,,,,,,,,
,, Total,135266,135453,270719,,,,,,,,,,
,Shajahanpur,,Male,Female,Total,,,,,,,,,,
,, Muslim,143375,134764,278139,,,,,,,,,,
,, Hindu,6016,5541,11557,,,,,,,,,,
,, Christian,20,21,41,,,,,,,,,,
,, Buddhist,33,9,42,,,,,,,,,,
,, Other,14,11,25,,,,,,,,,,
,, Total,149458,140346,289804,,,,,,,,,,
,Sherpur,,Male,Female,Total,,,,,,,,,,
,, Muslim,149635,151884,301519,,,,,,,,,,
,, Hindu,15607,15119,30726,,,,,,,,,,
,, Christian,41,40,81,,,,,,,,,,
,, Buddhist,2,7,9,,,,,,,,,,
,, Other,242,248,490,,,,,,,,,,
,, Total,165527,167298,332825,,,,,,,,,,
,Shibganj,,Male,Female,Total,,,,,,,,,,
,, Muslim,181742,179872,361614,,,,,,,,,,
,, Hindu,8499,8312,16811,,,,,,,,,,
,, Christian,36,37,73,,,,,,,,,,
,, Buddhist,-,2,2,,,,,,,,,,
,, Other,99,101,200,,,,,,,,,,
,, Total,190376,188324,378700,,,,,,,,,,
,Sonatola,,Male,Female,Total,,,,,,,,,,
,, Muslim,87680,89994,177674,,,,,,,,,,
,, Hindu,4563,4405,8968,,,,,,,,,,
,, Christian,-,1,1,,,,,,,,,,
,, Buddhist,3,2,5,,,,,,,,,,
,, Other,60,70,130,,,,,,,,,,
,, Total,92306,94472,186778,,,,,,,,,,
,Akkelpur,,Male,Female,Total,,,,,,,,,,
,, Muslim,63648,64723,128371,,,,,,,,,,
,, Hindu,4423,4295,8718,,,,,,,,,,
,, Christian,3,2,5,,,,,,,,,,
,, Other,259,266,525,,,,,,,,,,
,, Total,68333,69286,137619,,,,,,,,,,
,Joypurhat,,Male,Female,Total,,,,,,,,,,
,, Muslim,129528,125236,254764,,,,,,,,,,
,, Hindu,14977,14050,29027,,,,,,,,,,
,, Christian,503,506,1009,,,,,,,,,,
,, Buddhist,2,-,2,,,,,,,,,,
,, Other,2086,2170,4256,,,,,,,,,,
,, Total,147096,141962,289058,,,,,,,,,,
,Kalai,,Male,Female,Total,,,,,,,,,,
,, Muslim,67478,68949,136427,,,,,,,,,,
,, Hindu,3317,3343,6660,,,,,,,,,,
,, Christian,17,5,22,,,,,,,,,,
,, Buddhist,2,-,2,,,,,,,,,,
,, Other,46,40,86,,,,,,,,,,
,, Total,70860,72337,143197,,,,,,,,,,
,Khetlal,,Male,Female,Total,,,,,,,,,,
,, Muslim,49393,49355,98748,,,,,,,,,,
,, Hindu,4707,4663,9370,,,,,,,,,,
,, Christian,37,31,68,,,,,,,,,,
,, Buddhist,-,1,1,,,,,,,,,,
,, Other,77,62,139,,,,,,,,,,
,, Total,54214,54112,108326,,,,,,,,,,
,Panchbibi,,Male,Female,Total,,,,,,,,,,
,, Muslim,101231,99694,200925,,,,,,,,,,
,, Hindu,13738,13183,26921,,,,,,,,,,
,, Christian,1812,1906,3718,,,,,,,,,,
,, Buddhist,68,54,122,,,,,,,,,,
,, Other,1932,1950,3882,,,,,,,,,,
,, Total,118781,116787,235568,,,,,,,,,,
,Atrai,,Male,Female,Total,,,,,,,,,,
,, Muslim,86981,88232,175213,,,,,,,,,,
,, Hindu,9114,8880,17994,,,,,,,,,,
,, Christian,4,3,7,,,,,,,,,,
,, Buddhist,1,-,1,,,,,,,,,,
,, Other,29,12,41,,,,,,,,,,
,, Total,96129,97127,193256,,,,,,,,,,
,Badalgachhi,,Male,Female,Total,,,,,,,,,,
,, Muslim,86794,87356,174150,,,,,,,,,,
,, Hindu,10142,9812,19954,,,,,,,,,,
,, Christian,142,148,290,,,,,,,,,,
,, Buddhist,1,1,2,,,,,,,,,,
,, Other,3487,3459,6946,,,,,,,,,,
,, Total,100566,100776,201342,,,,,,,,,,
,Dhamoirhat,,Male,Female,Total,,,,,,,,,,
,, Muslim,81123,79139,160262,,,,,,,,,,
,, Hindu,5955,5675,11630,,,,,,,,,,
,, Christian,3242,3249,6491,,,,,,,,,,
,, Buddhist,4,4,8,,,,,,,,,,
,, Other,3239,3148,6387,,,,,,,,,,
,, Total,93563,91215,184778,,,,,,,,,,
,Manda,,Male,Female,Total,,,,,,,,,,
,, Muslim,162738,166854,329592,,,,,,,,,,
,, Hindu,16052,15739,31791,,,,,,,,,,
,, Christian,86,92,178,,,,,,,,,,
,, Buddhist,1,-,1,,,,,,,,,,
,, Other,1146,1150,2296,,,,,,,,,,
,, Total,180023,183835,363858,,,,,,,,,,
,Mahadebpur,,Male,Female,Total,,,,,,,,,,
,, Muslim,116726,116457,233183,,,,,,,,,,
,, Hindu,26654,25917,52571,,,,,,,,,,
,, Christian,191,226,417,,,,,,,,,,
,, Buddhist,2,1,3,,,,,,,,,,
,, Other,3332,3353,6685,,,,,,,,,,
,, Total,146905,145954,292859,,,,,,,,,,
,Naogaon,,Male,Female,Total,,,,,,,,,,
,, Muslim,187868,185143,373011,,,,,,,,,,
,, Hindu,16074,14937,31011,,,,,,,,,,
,, Christian,90,99,189,,,,,,,,,,
,, Buddhist,2,-,2,,,,,,,,,,
,, Other,471,464,935,,,,,,,,,,
,, Total,204505,200643,405148,,,,,,,,,,
,Niamatpur,,Male,Female,Total,,,,,,,,,,
,, Muslim,95174,97907,193081,,,,,,,,,,
,, Hindu,22693,22943,45636,,,,,,,,,,
,, Christian,1785,1861,3646,,,,,,,,,,
,, Buddhist,1,3,4,,,,,,,,,,
,, Other,2925,3059,5984,,,,,,,,,,
,, Total,122578,125773,248351,,,,,,,,,,
,Patnitala,,Male,Female,Total,,,,,,,,,,
,, Muslim,91579,90611,182190,,,,,,,,,,
,, Hindu,18145,17676,35821,,,,,,,,,,
,, Christian,2405,2372,4777,,,,,,,,,,
,, Buddhist,37,39,76,,,,,,,,,,
,, Other,4558,4478,9036,,,,,,,,,,
,, Total,116724,115176,231900,,,,,,,,,,
,Porsha,,Male,Female,Total,,,,,,,,,,
,, Muslim,57360,56708,114068,,,,,,,,,,
,, Hindu,6842,6869,13711,,,,,,,,,,
,, Christian,888,913,1801,,,,,,,,,,
,, Buddhist,3,1,4,,,,,,,,,,
,, Other,1206,1305,2511,,,,,,,,,,
,, Total,66299,65796,132095,,,,,,,,,,
,Raninagar,,Male,Female,Total,,,,,,,,,,
,, Muslim,81627,83168,164795,,,,,,,,,,
,, Hindu,9978,9945,19923,,,,,,,,,,
,, Christian,24,31,55,,,,,,,,,,
,, Other,2,3,5,,,,,,,,,,
,, Total,91631,93147,184778,,,,,,,,,,
,Sapahar,,Male,Female,Total,,,,,,,,,,
,, Muslim,75844,75038,150882,,,,,,,,,,
,, Hindu,3986,3891,7877,,,,,,,,,,
,, Christian,354,385,739,,,,,,,,,,
,, Buddhist,1,-,1,,,,,,,,,,
,, Other,1119,1174,2293,,,,,,,,,,
,, Total,81304,80488,161792,,,,,,,,,,
,Bagatipara,,Male,Female,Total,,,,,,,,,,
,, Muslim,61613,62595,124208,,,,,,,,,,
,, Hindu,3263,3160,6423,,,,,,,,,,
,, Christian,161,185,346,,,,,,,,,,
,, Buddhist,2,2,4,,,,,,,,,,
,, Other,15,8,23,,,,,,,,,,
,, Total,65054,65950,131004,,,,,,,,,,
,Baraigram,,Male,Female,Total,,,,,,,,,,
,, Muslim,130370,132142,262512,,,,,,,,,,
,, Hindu,5367,5198,10565,,,,,,,,,,
,, Christian,2775,3379,6154,,,,,,,,,,
,, Other,234,207,441,,,,,,,,,,
,, Total,138746,140926,279672,,,,,,,,,,
,Gurudaspur,,Male,Female,Total,,,,,,,,,,
,, Muslim,103311,103260,206571,,,,,,,,,,
,, Hindu,3934,3754,7688,,,,,,,,,,
,, Christian,30,34,64,,,,,,,,,,
,, Other,245,220,465,,,,,,,,,,
,, Total,107520,107268,214788,,,,,,,,,,
,Lalpur,,Male,Female,Total,,,,,,,,,,
,, Muslim,130824,128578,259402,,,,,,,,,,
,, Hindu,7038,6775,13813,,,,,,,,,,
,, Christian,151,186,337,,,,,,,,,,
,, Buddhist,1,-,1,,,,,,,,,,
,, Other,443,409,852,,,,,,,,,,
,, Total,138457,135948,274405,,,,,,,,,,
,Natore,,Male,Female,Total,,,,,,,,,,
,, Muslim,203143,202670,405813,,,,,,,,,,
,, Hindu,17254,16425,33679,,,,,,,,,,
,, Christian,452,512,964,,,,,,,,,,
,, Buddhist,1,1,2,,,,,,,,,,
,, Other,970,994,1964,,,,,,,,,,
,, Total,221820,220602,442422,,,,,,,,,,
,Singra,,Male,Female,Total,,,,,,,,,,
,, Muslim,166313,166100,332413,,,,,,,,,,
,, Hindu,16079,15500,31579,,,,,,,,,,
,, Christian,88,101,189,,,,,,,,,,
,, Other,106,95,201,,,,,,,,,,
,, Total,182586,181796,364382,,,,,,,,,,
,Bholahat,,Male,Female,Total,,,,,,,,,,
,, Muslim,50575,51828,102403,,,,,,,,,,
,, Hindu,451,431,882,,,,,,,,,,
,, Buddhist,2,-,2,,,,,,,,,,
,, Other,7,7,14,,,,,,,,,,
,, Total,51035,52266,103301,,,,,,,,,,
,Gomastapur,,Male,Female,Total,,,,,,,,,,
,, Muslim,126777,129881,256658,,,,,,,,,,
,, Hindu,7997,7988,15985,,,,,,,,,,
,, Christian,1179,1236,2415,,,,,,,,,,
,, Buddhist,1,-,1,,,,,,,,,,
,, Other,367,397,764,,,,,,,,,,
,, Total,136321,139502,275823,,,,,,,,,,
,Nachole,,Male,Female,Total,,,,,,,,,,
,, Muslim,64642,65563,130205,,,,,,,,,,
,, Hindu,6218,6183,12401,,,,,,,,,,
,, Christian,1039,1028,2067,,,,,,,,,,
,, Other,996,958,1954,,,,,,,,,,
,, Total,72895,73732,146627,,,,,,,,,,
,Chapai nababganj,,Male,Female,Total,,,,,,,,,,
,, Muslim,243070,264413,507483,,,,,,,,,,
,, Hindu,10362,10282,20644,,,,,,,,,,
,, Christian,604,635,1239,,,,,,,,,,
,, Buddhist,2,1,3,,,,,,,,,,
,, Other,591,632,1223,,,,,,,,,,
,, Total,254629,275963,530592,,,,,,,,,,
,Shibganj,,Male,Female,Total,,,,,,,,,,
,, Muslim,286817,287585,574402,,,,,,,,,,
,, Hindu,8480,8210,16690,,,,,,,,,,
,, Christian,2,2,4,,,,,,,,,,
,, Buddhist,1,-,1,,,,,,,,,,
,, Other,38,43,81,,,,,,,,,,
,, Total,295338,295840,591178,,,,,,,,,,
,Atgharia,,Male,Female,Total,,,,,,,,,,
,, Muslim,76649,77487,154136,,,,,,,,,,
,, Hindu,1461,1425,2886,,,,,,,,,,
,, Christian,64,61,125,,,,,,,,,,
,, Buddhist,1,3,4,,,,,,,,,,
,, Other,62,41,103,,,,,,,,,,
,, Total,78237,79017,157254,,,,,,,,,,
,Bera,,Male,Female,Total,,,,,,,,,,
,, Muslim,123208,123255,246463,,,,,,,,,,
,, Hindu,5182,5138,10320,,,,,,,,,,
,, Christian,2,2,4,,,,,,,,,,
,, Other,5,1,6,,,,,,,,,,
,, Total,128397,128396,256793,,,,,,,,,,
,Bhangura,,Male,Female,Total,,,,,,,,,,
,, Muslim,59453,60012,119465,,,,,,,,,,
,, Hindu,2431,2498,4929,,,,,,,,,,
,, Christian,7,10,17,,,,,,,,,,
,, Other,9,13,22,,,,,,,,,,
,, Total,61900,62533,124433,,,,,,,,,,
,Chatmohar,,Male,Female,Total,,,,,,,,,,
,, Muslim,138505,139806,278311,,,,,,,,,,
,, Hindu,5245,5172,10417,,,,,,,,,,
,, Christian,887,1156,2043,,,,,,,,,,
,, Buddhist,-,1,1,,,,,,,,,,
,, Other,183,166,349,,,,,,,,,,
,, Total,144820,146301,291121,,,,,,,,,,
,Faridpur,,Male,Female,Total,,,,,,,,,,
,, Muslim,62530,62962,125492,,,,,,,,,,
,, Hindu,2496,2341,4837,,,,,,,,,,
,, Christian,3,3,6,,,,,,,,,,
,, Total,65029,65306,130335,,,,,,,,,,
,Ishwardi,,Male,Female,Total,,,,,,,,,,
,, Muslim,153364,151669,305033,,,,,,,,,,
,, Hindu,4104,3920,8024,,,,,,,,,,
,, Christian,241,266,507,,,,,,,,,,
,, Buddhist,5,6,11,,,,,,,,,,
,, Other,183,174,357,,,,,,,,,,
,, Total,157897,156035,313932,,,,,,,,,,
,Pabna,,Male,Female,Total,,,,,,,,,,
,, Muslim,290459,287906,578365,,,,,,,,,,
,, Hindu,6274,6020,12294,,,,,,,,,,
,, Christian,113,108,221,,,,,,,,,,
,, Buddhist,22,5,27,,,,,,,,,,
,, Other,2,5,7,,,,,,,,,,
,, Total,296870,294044,590914,,,,,,,,,,
,Santhia,,Male,Female,Total,,,,,,,,,,
,, Muslim,186019,184162,370181,,,,,,,,,,
,, Hindu,5099,4868,9967,,,,,,,,,,
,, Christian,98,38,136,,,,,,,,,,
