,Upazila/Thana,Religion,Sex,,,,,,,,,,,,
,, Christian,68,63,131,,,,,,,,,,
,, Buddhist,1982,2259,4241,,,,,,,,,,
,, Other,66,38,104,,,,,,,,,,
,, Total,109273,113852,223125,,,,,,,,,,
,Chandanaish,,Male,Female,Total,,,,,,,,,,
,, Muslim,101082,98990,200072,,,,,,,,,,
,, Hindu,13538,13624,27162,,,,,,,,,,
,, Christian,267,297,564,,,,,,,,,,
,, Buddhist,2442,2604,5046,,,,,,,,,,
,, Other,89,84,173,,,,,,,,,,
,, Total,117418,115599,233017,,,,,,,,,,
,Chandgaon,,Male,Female,Total,,,,,,,,,,
,, Muslim,116374,108920,225294,,,,,,,,,,
,, Hindu,12609,12386,24995,,,,,,,,,,
,, Christian,135,131,266,,,,,,,,,,
,, Buddhist,2860,2850,5710,,,,,,,,,,
,, Other,76,70,146,,,,,,,,,,
,, Total,132054,124357,256411,,,,,,,,,,
,Chittagong port,,Male,Female,Total,,,,,,,,,,
,, Muslim,95774,91591,187365,,,,,,,,,,
,, Hindu,8123,8340,16463,,,,,,,,,,
,, Christian,94,101,195,,,,,,,,,,
,, Buddhist,1885,2259,4144,,,,,,,,,,
,, Other,43,50,93,,,,,,,,,,
,, Total,105919,102341,208260,,,,,,,,,,
,Double mooring,,Male,Female,Total,,,,,,,,,,
,, Muslim,175544,150289,325833,,,,,,,,,,
,, Hindu,15909,13975,29884,,,,,,,,,,
,, Christian,114,127,241,,,,,,,,,,
,, Buddhist,2554,2471,5025,,,,,,,,,,
,, Other,113,58,171,,,,,,,,,,
,, Total,194234,166920,361154,,,,,,,,,,
,Fatikchhari,,Male,Female,Total,,,,,,,,,,
,, Muslim,228897,234743,463640,,,,,,,,,,
,, Hindu,25155,25623,50778,,,,,,,,,,
,, Christian,74,61,135,,,,,,,,,,
,, Buddhist,3918,4165,8083,,,,,,,,,,
,, Other,1686,1681,3367,,,,,,,,,,
,, Total,259730,266273,526003,,,,,,,,,,
,Halishahar,,Male,Female,Total,,,,,,,,,,
,, Muslim,74719,70292,145011,,,,,,,,,,
,, Hindu,2967,2832,5799,,,,,,,,,,
,, Christian,28,23,51,,,,,,,,,,
,, Buddhist,245,307,552,,,,,,,,,,
,, Other,49,53,102,,,,,,,,,,
,, Total,78008,73507,151515,,,,,,,,,,
,Hathazari,,Male,Female,Total,,,,,,,,,,
,, Muslim,194429,195629,390058,,,,,,,,,,
,, Hindu,18032,18180,36212,,,,,,,,,,
,, Christian,82,62,144,,,,,,,,,,
,, Buddhist,2427,2522,4949,,,,,,,,,,
,, Other,231,154,385,,,,,,,,,,
,, Total,215201,216547,431748,,,,,,,,,,
,Kotwali,,Male,Female,Total,,,,,,,,,,
,, Muslim,120914,91926,212840,,,,,,,,,,
,, Hindu,50124,46455,96579,,,,,,,,,,
,, Christian,1276,1222,2498,,,,,,,,,,
,, Buddhist,4031,3844,7875,,,,,,,,,,
,, Other,117,63,180,,,,,,,,,,
,, Total,176462,143510,319972,,,,,,,,,,
,Khulshi,,Male,Female,Total,,,,,,,,,,
,, Muslim,138094,120394,258488,,,,,,,,,,
,, Hindu,8655,7819,16474,,,,,,,,,,
,, Christian,394,413,807,,,,,,,,,,
,, Buddhist,1282,1282,2564,,,,,,,,,,
,, Other,111,179,290,,,,,,,,,,
,, Total,148536,130087,278623,,,,,,,,,,
,Lohagara,,Male,Female,Total,,,,,,,,,,
,, Muslim,122138,129091,251229,,,,,,,,,,
,, Hindu,10759,11850,22609,,,,,,,,,,
,, Christian,13,9,22,,,,,,,,,,
,, Buddhist,2800,3238,6038,,,,,,,,,,
,, Other,7,8,15,,,,,,,,,,
,, Total,135717,144196,279913,,,,,,,,,,
,Mirsharai,,Male,Female,Total,,,,,,,,,,
,, Muslim,160832,182542,343374,,,,,,,,,,
,, Hindu,23573,25693,49266,,,,,,,,,,
,, Christian,37,33,70,,,,,,,,,,
,, Buddhist,2300,2552,4852,,,,,,,,,,
,, Other,581,573,1154,,,,,,,,,,
,, Total,187323,211393,398716,,,,,,,,,,
,Pahartali,,Male,Female,Total,,,,,,,,,,
,, Muslim,85107,79121,164228,,,,,,,,,,
,, Hindu,12971,12347,25318,,,,,,,,,,
,, Christian,151,171,322,,,,,,,,,,
,, Buddhist,323,390,713,,,,,,,,,,
,, Other,27,29,56,,,,,,,,,,
,, Total,98579,92058,190637,,,,,,,,,,
,Panchlaish,,Male,Female,Total,,,,,,,,,,
,, Muslim,104725,94117,198842,,,,,,,,,,
,, Hindu,7982,7846,15828,,,,,,,,,,
,, Christian,188,133,321,,,,,,,,,,
,, Buddhist,2114,1885,3999,,,,,,,,,,
,, Other,94,48,142,,,,,,,,,,
,, Total,115103,104029,219132,,,,,,,,,,
,Patiya,,Male,Female,Total,,,,,,,,,,
,, Muslim,224423,219350,443773,,,,,,,,,,
,, Hindu,37539,38188,75727,,,,,,,,,,
,, Christian,348,297,645,,,,,,,,,,
,, Buddhist,3784,4118,7902,,,,,,,,,,
,, Other,59,14,73,,,,,,,,,,
,, Total,266153,261967,528120,,,,,,,,,,
,Patenga,,Male,Female,Total,,,,,,,,,,
,, Muslim,64318,57778,122096,,,,,,,,,,
,, Hindu,5008,4762,9770,,,,,,,,,,
,, Christian,24,36,60,,,,,,,,,,
,, Buddhist,373,327,700,,,,,,,,,,
